Airports.Days.Date,Hour,SEA,SEA,SEA,SEA,SEA
,,FIS Checkpoint,SCP 2,SCP 3,SCP 4,SCP 5
2020-11-26,18:00:00,,84.0,55.0,48.0,46.0
2020-11-26,19:00:00,,118.0,139.0,54.0,
2020-11-26,20:00:00,,,221.0,63.0,
2020-11-26,21:00:00,,,249.0,60.0,
2020-11-26,22:00:00,,,95.0,,
2020-11-26,23:00:00,,,24.0,,
2020-11-27,00:00:00,,,9.0,,
2020-11-27,01:00:00,,,4.0,,
2020-11-27,02:00:00,,,9.0,,
2020-11-27,03:00:00,,,124.0,,
2020-11-27,04:00:00,,140.0,310.0,153.0,125.0
2020-11-27,05:00:00,,257.0,317.0,296.0,346.0
2020-11-27,06:00:00,,332.0,398.0,373.0,417.0
2020-11-27,07:00:00,,369.0,371.0,278.0,423.0
2020-11-27,08:00:00,,192.0,281.0,297.0,445.0
2020-11-27,09:00:00,24.0,281.0,223.0,237.0,348.0
2020-11-27,10:00:00,4.0,257.0,331.0,232.0,339.0
2020-11-27,11:00:00,23.0,269.0,228.0,118.0,143.0
2020-11-27,12:00:00,,251.0,188.0,195.0,196.0
2020-11-27,13:00:00,,156.0,162.0,159.0,200.0
2020-11-27,14:00:00,,225.0,154.0,198.0,282.0
2020-11-27,15:00:00,,104.0,143.0,94.0,227.0
2020-11-27,16:00:00,,82.0,134.0,122.0,277.0
2020-11-27,17:00:00,,89.0,131.0,63.0,114.0
2020-11-27,18:00:00,,91.0,140.0,81.0,119.0
2020-11-27,19:00:00,,216.0,200.0,59.0,
2020-11-27,20:00:00,,,204.0,86.0,
2020-11-27,21:00:00,,,263.0,80.0,
2020-11-27,22:00:00,,,296.0,,
2020-11-27,23:00:00,,,73.0,,
2020-11-28,00:00:00,,,13.0,,
2020-11-28,01:00:00,,,5.0,,
2020-11-28,02:00:00,,,10.0,,
2020-11-28,03:00:00,,,109.0,,
2020-11-28,04:00:00,,207.0,376.0,185.0,109.0
2020-11-28,05:00:00,,298.0,353.0,288.0,282.0
2020-11-28,06:00:00,,487.0,498.0,438.0,374.0
2020-11-28,07:00:00,,333.0,290.0,222.0,338.0
2020-11-28,08:00:00,,334.0,472.0,311.0,323.0
2020-11-28,09:00:00,4.0,230.0,238.0,268.0,342.0
2020-11-28,10:00:00,0.0,280.0,369.0,292.0,302.0
2020-11-28,11:00:00,31.0,191.0,283.0,152.0,110.0
2020-11-28,12:00:00,,246.0,199.0,201.0,227.0
2020-11-28,13:00:00,,237.0,157.0,201.0,219.0
2020-11-28,14:00:00,,267.0,245.0,254.0,315.0
2020-11-28,15:00:00,,77.0,134.0,145.0,254.0
2020-11-28,16:00:00,,82.0,213.0,193.0,266.0
2020-11-28,17:00:00,,103.0,121.0,88.0,197.0
2020-11-28,18:00:00,,181.0,121.0,93.0,134.0
2020-11-28,19:00:00,,162.0,220.0,59.0,
2020-11-28,20:00:00,,,339.0,115.0,
2020-11-28,21:00:00,,,365.0,86.0,
2020-11-28,22:00:00,,,425.0,,
2020-11-28,23:00:00,,,83.0,,
